Author,Title,Opening Technique,Stylistic note,Tense,Voice,First Paragraph,
"Joyce, James",The Dead,Action,N/A,Past,Third,"Lily, the caretaker’s daughter, was literally run off her feet. Hardly
had she brought one gentleman into the little pantry behind the office
on the ground floor and helped him off with his overcoat than the
wheezy hall-door bell clanged again and she had to scamper along the
bare hallway to let in another guest. It was well for her she had not
to attend to the ladies also. But Miss Kate and Miss Julia had thought
of that and had converted the bathroom upstairs into a ladies’
dressing-room. Miss Kate and Miss Julia were there, gossiping and
laughing and fussing, walking after each other to the head of the
stairs, peering down over the banisters and calling down to Lily to ask
her who had come.",
"Anderson, Sherwood",The Book of the Grotesque,Character,Implication,Past,Third,"The writer, an old man with a white mustache, had some difficulty in
getting into bed. The windows of the house in which he lived were high
and he wanted to look at the trees when he awoke in the morning. A
carpenter came to fix the bed so that it would be on a level with the
window.",
"Anderson, Sherwood",Hands,Setting,,Past,Third,"Upon the half decayed veranda of a small frame house that stood near
the edge of a ravine near the town of Winesburg, Ohio, a fat little old
man walked nervously up and down. Across a long field that had been
seeded for clover but that had produced only a dense crop of yellow
mustard weeds, he could see the public highway along which went a wagon
filled with berry pickers returning from the fields. The berry pickers,
youths and maidens, laughed and shouted boisterously. A boy clad in a
blue shirt leaped from the wagon and attempted to drag after him one of
the maidens, who screamed and protested shrilly. The feet of the boy in
the road kicked up a cloud of dust that floated across the face of the
departing sun. Over the long field came a thin girlish voice. “Oh, you
Wing Biddlebaum, comb your hair, it’s falling into your eyes,”
commanded the voice to the man, who was bald and whose nervous little
hands fiddled about the bare white forehead as though arranging a mass
of tangled locks.",
"Anderson, Sherwood",Paper Pills,Backstory,Flash-forward; time-lapse,Past,Third,"He was an old man with a white beard and huge nose and hands. Long
before the time during which we will know him, he was a doctor and
drove a jaded white horse from house to house through the streets of
Winesburg. Later he married a girl who had money. She had been left a
large fertile farm when her father died. The girl was quiet, tall, and
dark, and to many people she seemed very beautiful. Everyone in
Winesburg wondered why she married the doctor. Within a year after the
marriage she died.",
"Anderson, Sherwood",The Philosopher,Character,N/A,Past,Third,"Doctor Parcival was a large man with a drooping mouth covered by a
yellow mustache. He always wore a dirty white waistcoat out of the
pockets of which protruded a number of the kind of black cigars known
as stogies. His teeth were black and irregular and there was something
strange about his eyes. The lid of the left eye twitched; it fell down
and snapped up; it was exactly as though the lid of the eye were a
window shade and someone stood inside the doctor’s head playing with
the cord.",
"Anderson, Sherwood",Nobody Knows,Action,N/A,Past,Third,"Looking cautiously about, George Willard arose from his desk in the
office of the _Winesburg Eagle_ and went hurriedly out at the back
door. The night was warm and cloudy and although it was not yet eight
o’clock, the alleyway back of the _Eagle_ office was pitch dark. A team
of horses tied to a post somewhere in the darkness stamped on the
hard-baked ground. A cat sprang from under George Willard’s feet and
ran away into the night. The young man was nervous. All day he had gone
about his work like one dazed by a blow. In the alleyway he trembled as
though with fright.",
"Anderson, Sherwood",Godlinesss,Setting,N/A,Past,Third,"There were always three or four old people sitting on the front porch
of the house or puttering about the garden of the Bentley farm. Three
of the old people were women and sisters to Jesse. They were a
colorless, soft voiced lot. Then there was a silent old man with thin
white hair who was Jesse’s uncle.",
"Anderson, Sherwood",A Man of Ideas,Setting; Character,N/A,Past,Third,"He lived with his mother, a grey, silent woman with a peculiar ashy
complexion. The house in which they lived stood in a little grove of
trees beyond where the main street of Winesburg crossed Wine Creek. His
name was Joe Welling, and his father had been a man of some dignity in
the community, a lawyer, and a member of the state legislature at
Columbus. Joe himself was small of body and in his character unlike
anyone else in town. He was like a tiny little volcano that lies silent
for days and then suddenly spouts fire. No, he wasn’t like that—he was
like a man who is subject to fits, one who walks among his fellow men
inspiring fear because a fit may come upon him suddenly and blow him
away into a strange uncanny physical state in which his eyes roll and
his legs and arms jerk. He was like that, only that the visitation that
descended upon Joe Welling was a mental and not a physical thing. He
was beset by ideas and in the throes of one of his ideas was
uncontrollable. Words rolled and tumbled from his mouth. A peculiar
smile came upon his lips. The edges of his teeth that were tipped with
gold glistened in the light. Pouncing upon a bystander he began to
talk. For the bystander there was no escape. The excited man breathed
into his face, peered into his eyes, pounded upon his chest with a
shaking forefinger, demanded, compelled attention.",
"Anderson, Sherwood",Adventure,Character,N/A,Past,Third,"Alice Hindman, a woman of twenty-seven when George Willard was a mere
boy, had lived in Winesburg all her life. She clerked in Winney’s Dry
Goods Store and lived with her mother, who had married a second
husband.",
"Anderson, Sherwood",Respectability,Character,N/A,Past,Second,"If you have lived in cities and have walked in the park on a summer
afternoon, you have perhaps seen, blinking in a corner of his iron
cage, a huge, grotesque kind of monkey, a creature with ugly, sagging,
hairless skin below his eyes and a bright purple underbody. This monkey
is a true monster. In the completeness of his ugliness he achieved a
kind of perverted beauty. Children stopping before the cage are
fascinated, men turn away with an air of disgust, and women linger for
a moment, trying perhaps to remember which one of their male
acquaintances the thing in some faint way resembles.",
"Anderson, Sherwood",The Thinker,Setting,N/A,Past,Third,"The house in which Seth Richmond of Winesburg lived with his mother had
been at one time the show place of the town, but when young Seth lived
there its glory had become somewhat dimmed. The huge brick house which
Banker White had built on Buckeye Street had overshadowed it. The
Richmond place was in a little valley far out at the end of Main
Street. Farmers coming into town by a dusty road from the south passed
by a grove of walnut trees, skirted the Fair Ground with its high board
fence covered with advertisements, and trotted their horses down
through the valley past the Richmond place into town. As much of the
country north and south of Winesburg was devoted to fruit and berry
raising, Seth saw wagon-loads of berry pickers—boys, girls, and
women—going to the fields in the morning and returning covered with
dust in the evening. The chattering crowd, with their rude jokes cried
out from wagon to wagon, sometimes irritated him sharply. He regretted
that he also could not laugh boisterously, shout meaningless jokes and
make of himself a figure in the endless stream of moving, giggling
activity that went up and down the road.",
"Anderson, Sherwood",Tandy,Backstory; Character,N/A,Past,Third,"Until she was seven years old she lived in an old unpainted house on an
unused road that led off Trunion Pike. Her father gave her but little
attention and her mother was dead. The father spent his time talking
and thinking of religion. He proclaimed himself an agnostic and was so
absorbed in destroying the ideas of God that had crept into the minds
of his neighbors that he never saw God manifesting himself in the
little child that, half forgotten, lived here and there on the bounty
of her dead mother’s relatives.",
"Anderson, Sherwood",The Strength of God,Character,N/A,Past,Third,"The Reverend Curtis Hartman was pastor of the Presbyterian Church of
Winesburg, and had been in that position ten years. He was forty years
old, and by his nature very silent and reticent. To preach, standing in
the pulpit before the people, was always a hardship for him and from
Wednesday morning until Saturday evening he thought of nothing but the
two sermons that must be preached on Sunday. Early on Sunday morning he
went into a little room called a study in the bell tower of the church
and prayed. In his prayers there was one note that always predominated.
“Give me strength and courage for Thy work, O Lord!” he pleaded,
kneeling on the bare floor and bowing his head in the presence of the
task that lay before him.",
"Anderson, Sherwood",The Teacher,Setting; Action,N/A,Past,Third,"Snow lay deep in the streets of Winesburg. It had begun to snow about
ten o’clock in the morning and a wind sprang up and blew the snow in
clouds along Main Street. The frozen mud roads that led into town were
fairly smooth and in places ice covered the mud. “There will be good
sleighing,” said Will Henderson, standing by the bar in Ed Griffith’s
saloon. Out of the saloon he went and met Sylvester West the druggist
stumbling along in the kind of heavy overshoes called arctics. “Snow
will bring the people into town on Saturday,” said the druggist. The
two men stopped and discussed their affairs. Will Henderson, who had on
a light overcoat and no overshoes, kicked the heel of his left foot
with the toe of the right. “Snow will be good for the wheat,” observed
the druggist sagely.",
"Anderson, Sherwood",Loneliness,Character; Setting,N/A,Past,Third,"He was the son of Mrs. Al Robinson who once owned a farm on a side road
leading off Trunion Pike, east of Winesburg and two miles beyond the
town limits. The farmhouse was painted brown and the blinds to all of
the windows facing the road were kept closed. In the road before the
house a flock of chickens, accompanied by two guinea hens, lay in the
deep dust. Enoch lived in the house with his mother in those days and
when he was a young boy went to school at the Winesburg High School.
Old citizens remembered him as a quiet, smiling youth inclined to
silence. He walked in the middle of the road when he came into town and
sometimes read a book. Drivers of teams had to shout and swear to make
him realize where he was so that he would turn out of the beaten track
and let them pass.",
"Anderson, Sherwood",An Awakening,Character; Setting,N/A,Past,Third,"Belle Carpenter had a dark skin, grey eyes, and thick lips. She was
tall and strong. When black thoughts visited her she grew angry and
wished she were a man and could fight someone with her fists. She
worked in the millinery shop kept by Mrs. Kate McHugh and during the
day sat trimming hats by a window at the rear of the store. She was the
daughter of Henry Carpenter, bookkeeper in the First National Bank of
Winesburg, and lived with him in a gloomy old house far out at the end
of Buckeye Street. The house was surrounded by pine trees and there was
no grass beneath the trees. A rusty tin eaves-trough had slipped from
its fastenings at the back of the house and when the wind blew it beat
against the roof of a small shed, making a dismal drumming noise that
sometimes persisted all through the night.",
"Anderson, Sherwood","""Queer""",Action; Setting,N/A,Past,Third,"From his seat on a box in the rough board shed that stuck like a burr
on the rear of Cowley & Son’s store in Winesburg, Elmer Cowley, the
junior member of the firm, could see through a dirty window into the
printshop of the _Winesburg Eagle_. Elmer was putting new shoelaces in
his shoes. They did not go in readily and he had to take the shoes off.
With the shoes in his hand he sat looking at a large hole in the heel
of one of his stockings. Then looking quickly up he saw George Willard,
the only newspaper reporter in Winesburg, standing at the back door of
the _Eagle_ printshop and staring absentmindedly about. “Well, well,
what next!” exclaimed the young man with the shoes in his hand, jumping
to his feet and creeping away from the window.",
"Anderson, Sherwood",The Untold Lie,Backstory,N/A,Past,Third,"Ray Pearson and Hal Winters were farm hands employed on a farm three
miles north of Winesburg. On Saturday afternoons they came into town
and wandered about through the streets with other fellows from the
country.",
"Anderson, Sherwood",Drink,Backstory,N/A,Past,Third,"Tom Foster came to Winesburg from Cincinnati when he was still young
and could get many new impressions. His grandmother had been raised on
a farm near the town and as a young girl had gone to school there when
Winesburg was a village of twelve or fifteen houses clustered about a
general store on the Trunion Pike.",
"Anderson, Sherwood",Death,Setting,N/A,Past,Third,"The stairway leading up to Doctor Reefy’s office, in the Heffner Block
above the Paris Dry Goods store, was but dimly lighted. At the head of
the stairway hung a lamp with a dirty chimney that was fastened by a
bracket to the wall. The lamp had a tin reflector, brown with rust and
covered with dust. The people who went up the stairway followed with
their feet the feet of many who had gone before. The soft boards of the
stairs had yielded under the pressure of feet and deep hollows marked
the way.",
"Anderson, Sherwood",Sophistication,Setting,N/A,Past,Third,"It was early evening of a day in the late fall and the Winesburg County
Fair had brought crowds of country people into town. The day had been
clear and the night came on warm and pleasant. On the Trunion Pike,
where the road after it left town stretched away between berry fields
now covered with dry brown leaves, the dust from passing wagons arose
in clouds. Children, curled into little balls, slept on the straw
scattered on wagon beds. Their hair was full of dust and their fingers
black and sticky. The dust rolled away over the fields and the
departing sun set it ablaze with colors.",
"Anderson, Sherwood",Departure,Action; Setting,N/A,Past,Third,"Young George Willard got out of bed at four in the morning. It was
April and the young tree leaves were just coming out of their buds. The
trees along the residence streets in Winesburg are maple and the seeds
are winged. When the wind blows they whirl crazily about, filling the
air and making a carpet underfoot.",
